,index,artist,Unnamed: 0,artist_id,year,unique_length,num,avg
168,168,Ke$ha,257,169,2017,31,1,31.0
169,169,Keala Settle & The Greatest Showman Ensemble,258,170,2018,35,1,35.0
170,170,Kelly Clarkson,259,171,2015,27,1,27.0
171,171,Kendrick Lamar,521,344,4034,286,2,143.0
172,172,Kendrick Lamar & Rihanna,262,173,2017,83,1,83.0
173,173,Kendrick Lamar & SZA,263,174,2018,52,1,52.0
174,174,Kent Jones,264,175,2016,52,1,52.0
175,175,Kevin Gates,265,176,2016,106,1,106.0
176,176,Khalid,533,354,4034,35,2,17.5
177,177,Khalid & Normani,268,178,2018,31,1,31.0
178,178,Kid Ink & Chris Brown,269,179,2014,52,1,52.0
179,179,Kiesza,270,180,2014,25,1,25.0
180,180,Kiiara,271,181,2016,17,1,17.0
181,181,Klingande,272,182,2014,5,1,5.0
182,182,Kodak Black,273,183,2017,65,1,65.0
183,183,"Kodak Black, Travi$ Scott & Offset",274,184,2018,138,1,138.0
184,184,Kungs & Cookin' On 3 Burners,275,185,2016,11,1,11.0
185,185,Kygo & Conrad,276,186,2015,17,1,17.0
186,186,Kygo & Parson James,277,187,2015,32,1,32.0
187,187,Kygo & Selena Gomez,278,188,2017,28,1,28.0
188,188,Kyle & Lil Yachty,279,189,2017,114,1,114.0
189,189,Lady Gaga & Bradley Cooper,280,190,2018,23,1,23.0
190,190,Lauy,281,191,2018,17,1,17.0
191,191,Liam Payne & Quavo,282,192,2017,55,1,55.0
192,192,Liam Payne & Rita Ora,283,193,2018,138,1,138.0
193,193,Lil Baby & Drake,284,194,2018,98,1,98.0
194,194,Lil Baby & Gunna,285,195,2018,71,1,71.0
195,195,Lil Dicky & Chris Brown,286,196,2018,107,1,107.0
196,196,Lil Pump,287,197,2017,58,1,58.0
197,197,Lil Uzi Vert,288,198,2017,63,1,63.0
198,198,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",289,199,2016,118,1,118.0
199,199,Lilly Wood & The Prick & Robin Schulz,290,200,2014,17,1,17.0
200,200,Little Big Town,291,201,2015,36,1,36.0
201,201,"Logic, Alessia Cara & Khalid",292,202,2017,48,1,48.0
202,202,Lorde,587,406,4028,93,2,46.5
203,203,Lost Frequencies,295,204,2015,8,1,8.0
204,204,Lost Frequencies & Janieck Devy,296,205,2015,20,1,20.0
205,205,Loud Luxury & Brando,297,206,2018,29,1,29.0
